entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,cumulative_equity,running_peak,drawdown_pct,weekday,hour
2023-01-04 00:00:00+00:00,16862.02,2023-01-04 12:00:00+00:00,16772.62142857143,stop_loss,-89.39857142857,-0.005301771165528804,0.9946982288344712,0.9946982288344712,0.0,Wednesday,0
2023-01-09 00:00:00+00:00,17197.0,2023-01-09 16:00:00+00:00,17355.078571428574,take_profit,158.07857142857392,0.009192217911762163,1.0038417117103615,1.0038417117103615,0.0,Monday,0
2023-01-10 12:00:00+00:00,17327.7,2023-01-11 16:00:00+00:00,17548.54142857143,take_profit,220.84142857142797,0.012744993771327295,1.0166356680735087,1.0166356680735087,0.0,Tuesday,12
2023-01-11 20:00:00+00:00,17943.26,2023-01-12 00:00:00+00:00,18197.532857142854,take_profit,254.27285714285608,0.01417093979259377,1.0310423509167816,1.0310423509167816,0.0,Wednesday,20
2023-01-12 16:00:00+00:00,18885.35,2023-01-13 12:00:00+00:00,19308.434285714284,take_profit,423.0842857142852,0.022402777058105106,1.0541405628418348,1.0541405628418348,0.0,Thursday,16
2023-01-14 00:00:00+00:00,20967.23,2023-01-14 08:00:00+00:00,20578.431428571428,stop_loss,-388.79857142857145,-0.018543153837134015,1.0345934722190957,1.0541405628418348,-0.018543153837133914,Saturday,0
2023-01-20 20:00:00+00:00,22667.21,2023-01-21 08:00:00+00:00,23303.33714285714,take_profit,636.1271428571417,0.028063760068272263,1.063628055191653,1.063628055191653,0.0,Friday,20
2023-01-29 08:00:00+00:00,23432.17,2023-01-30 08:00:00+00:00,23167.09857142857,stop_loss,-265.07142857142753,-0.011312286850574555,1.0515959895290063,1.063628055191653,-0.011312286850574529,Sunday,8
2023-02-01 16:00:00+00:00,23385.99,2023-02-02 00:00:00+00:00,24003.25,take_profit,617.2599999999984,0.02639443530079327,1.0793522718372033,1.0793522718372033,0.0,Wednesday,16
2023-02-14 12:00:00+00:00,22041.45,2023-02-15 08:00:00+00:00,22475.96285714286,take_profit,434.5128571428577,0.019713442497787472,1.1006300207829223,1.1006300207829223,0.0,Tuesday,12
2023-02-15 12:00:00+00:00,22809.46,2023-02-15 16:00:00+00:00,23341.28714285714,take_profit,531.8271428571425,0.02331607775270184,1.1262923959244548,1.1262923959244548,0.0,Wednesday,12
2023-02-15 20:00:00+00:00,24324.05,2023-02-16 12:00:00+00:00,24932.802857142855,take_profit,608.7528571428556,0.025026788595766562,1.1544798776142755,1.1544798776142755,0.0,Wednesday,20
2023-02-20 12:00:00+00:00,24942.87,2023-02-21 08:00:00+00:00,24599.967142857142,stop_loss,-342.9028571428571,-0.013747530141593856,1.1386086306989096,1.1544798776142755,-0.01374753014159391,Monday,12
2023-02-27 12:00:00+00:00,23559.4,2023-02-27 16:00:00+00:00,23326.36142857143,stop_loss,-233.03857142857305,-0.009891532527508046,1.12734604639225,1.1544798776142755,-0.023503078527533434,Monday,12
2023-03-06 12:00:00+00:00,22553.42,2023-03-06 16:00:00+00:00,22395.846428571425,stop_loss,-157.5735714285729,-0.006986681905829489,1.119469638168313,1.1544798776142755,-0.03032555189988327,Monday,12
2023-03-12 16:00:00+00:00,20779.54,2023-03-12 20:00:00+00:00,21510.494285714285,take_profit,730.9542857142842,0.0351766345989509,1.1588488125747793,1.1588488125747793,0.0,Sunday,16
2023-03-13 00:00:00+00:00,22231.62,2023-03-13 12:00:00+00:00,23147.167142857143,take_profit,915.5471428571436,0.04118220547387656,1.2065727624873919,1.2065727624873919,0.0,Monday,0
2023-03-14 12:00:00+00:00,25894.67,2023-03-14 16:00:00+00:00,25173.634285714284,stop_loss,-721.0357142857138,-0.027844947021364388,1.172975807838509,1.2065727624873919,-0.02784494702136446,Tuesday,12
2023-03-19 16:00:00+00:00,28255.87,2023-03-20 00:00:00+00:00,27608.647142857142,stop_loss,-647.2228571428568,-0.022905784077533513,1.1461078772559898,1.2065727624873919,-0.050112920754776163,Sunday,16
2023-03-29 04:00:00+00:00,28086.82,2023-03-30 00:00:00+00:00,29003.165714285715,take_profit,916.3457142857151,0.032625470390941914,1.1835001858702303,1.2065727624873919,-0.01912240797612291,Wednesday,4
2023-04-09 16:00:00+00:00,28140.4,2023-04-09 20:00:00+00:00,28450.617142857143,take_profit,310.2171428571419,0.011023906655809507,1.196546981446397,1.2065727624873919,-0.008309304960876495,Sunday,16
2023-04-10 12:00:00+00:00,28439.38,2023-04-10 16:00:00+00:00,28809.300000000003,take_profit,369.9200000000019,0.013007315911950326,1.212110846037561,1.212110846037561,0.0,Monday,12
2023-04-10 20:00:00+00:00,29637.34,2023-04-11 00:00:00+00:00,30167.73285714286,take_profit,530.3928571428587,0.017896101915450532,1.233802905271072,1.233802905271072,0.0,Monday,20
2023-04-13 12:00:00+00:00,30441.43,2023-04-14 16:00:00+00:00,30097.47642857143,stop_loss,-343.9535714285703,-0.011298863799386898,1.2198623342891262,1.233802905271072,-0.011298863799386973,Thursday,12
2023-04-18 08:00:00+00:00,30380.59,2023-04-18 16:00:00+00:00,30094.01714285714,stop_loss,-286.572857142859,-0.009432761415853313,1.208355663929591,1.233802905271072,-0.02062504572875045,Tuesday,8
2023-04-25 20:00:00+00:00,28300.79,2023-04-26 08:00:00+00:00,29065.407142857144,take_profit,764.6171428571433,0.02701751939988754,1.2410024365217727,1.2410024365217727,0.0,Tuesday,20
2023-04-26 12:00:00+00:00,29820.03,2023-04-26 16:00:00+00:00,29402.991428571426,stop_loss,-417.03857142857305,-0.013985182826059298,1.2236467905594306,1.2410024365217727,-0.013985182826059322,Wednesday,12
2023-04-30 12:00:00+00:00,29655.18,2023-04-30 16:00:00+00:00,29431.32642857143,stop_loss,-223.85357142857174,-0.007548548733427743,1.2144100331283902,1.2410024365217727,-0.021428163725378695,Sunday,12
2023-05-05 12:00:00+00:00,29356.45,2023-05-06 12:00:00+00:00,28960.273571428574,stop_loss,-396.1764285714271,-0.013495379331336967,1.1980211090675412,1.2410024365217727,-0.0346343618588676,Friday,12
2023-05-10 12:00:00+00:00,28153.2,2023-05-10 16:00:00+00:00,27815.99357142857,stop_loss,-337.20642857142957,-0.011977552412209965,1.1836717484427508,1.2410024365217727,-0.04619707938664956,Wednesday,12
2023-05-15 00:00:00+00:00,27232.8,2023-05-16 00:00:00+00:00,26956.77642857143,stop_loss,-276.02357142857,-0.01013570295484012,1.1716744032044988,1.2410024365217727,-0.05586454246744548,Monday,0
2023-05-23 00:00:00+00:00,27366.67,2023-05-23 16:00:00+00:00,27159.480714285713,stop_loss,-207.18928571428478,-0.007570862136835968,1.162803817828578,1.2410024365217727,-0.06301246185492297,Tuesday,0
2023-05-26 12:00:00+00:00,26750.21,2023-05-28 08:00:00+00:00,27297.095714285715,take_profit,546.885714285716,0.020444165271439586,1.1865763712585264,1.2410024365217727,-0.04385653376780566,Friday,12
2023-05-28 16:00:00+00:00,27525.99,2023-05-28 20:00:00+00:00,27953.428571428572,take_profit,427.43857142857087,0.01552854489261134,1.2050021757081262,1.2410024365217727,-0.02900901702864214,Sunday,16
2023-06-16 16:00:00+00:00,26382.43,2023-06-20 00:00:00+00:00,27075.42142857143,take_profit,692.9914285714294,0.026267156913575795,1.2366541569386518,1.2410024365217727,-0.00350384451726627,Friday,16
2023-06-20 12:00:00+00:00,27071.93,2023-06-20 16:00:00+00:00,27576.794285714284,take_profit,504.86428571428405,0.018648994944737374,1.2597165140597892,1.2597165140597892,0.0,Tuesday,12
2023-06-20 20:00:00+00:00,28307.99,2023-06-21 00:00:00+00:00,28994.83428571429,take_profit,686.8442857142873,0.024263265802845317,1.2902813506766555,1.2902813506766555,0.0,Tuesday,20
2023-06-21 12:00:00+00:00,29851.58,2023-06-21 16:00:00+00:00,30710.09,take_profit,858.5099999999984,0.028759281753260577,1.3273889155817429,1.3273889155817429,0.0,Wednesday,12
2023-06-23 12:00:00+00:00,31238.0,2023-06-23 16:00:00+00:00,30737.67785714286,stop_loss,-500.32214285714144,-0.016016458891642917,1.3061288455821054,1.3273889155817429,-0.016016458891642934,Friday,12
2023-06-30 04:00:00+00:00,30765.09,2023-06-30 12:00:00+00:00,30408.587857142855,stop_loss,-356.5021428571454,-0.011587879081684642,1.2909935824543997,1.3273889155817429,-0.02741874118437441,Friday,4
2023-07-03 12:00:00+00:00,31068.64,2023-07-03 16:00:00+00:00,30878.23285714286,stop_loss,-190.40714285714057,-0.006128596000891592,1.283081604347793,1.3273889155817429,-0.03337929879769386,Monday,12
2023-07-10 16:00:00+00:00,30837.4,2023-07-10 20:00:00+00:00,30658.670000000002,stop_loss,-178.72999999999956,-0.005795884218513868,1.2756450119260883,1.3273889155817429,-0.03898172046508109,Monday,16
2023-07-13 12:00:00+00:00,30917.48,2023-07-13 16:00:00+00:00,31441.782857142858,take_profit,524.3028571428586,0.016958136857947625,1.2972775746204892,1.3273889155817429,-0.022684640957738485,Thursday,12
2023-07-20 08:00:00+00:00,30284.9,2023-07-20 12:00:00+00:00,30028.062142857143,stop_loss,-256.8378571428584,-0.008480723302466193,1.2862757224636383,1.3273889155817429,-0.030972982097026373,Thursday,8
2023-07-23 16:00:00+00:00,30093.12,2023-07-23 20:00:00+00:00,29958.57,stop_loss,-134.54999999999927,-0.004471121638434276,1.2805246272479385,1.3273889155817429,-0.03530561976499978,Sunday,16
2023-07-26 16:00:00+00:00,29401.93,2023-07-27 16:00:00+00:00,29176.58785714286,stop_loss,-225.34214285714188,-0.007664195610871187,1.2707104360201724,1.3273889155817429,-0.042699226199828924,Wednesday,16
2023-07-31 00:00:00+00:00,29421.99,2023-07-31 12:00:00+00:00,29303.02928571429,stop_loss,-118.96071428571304,-0.0040432586064271326,1.265572625113457,1.3273889155817429,-0.046569840792435944,Monday,0
2023-08-01 20:00:00+00:00,29705.99,2023-08-02 08:00:00+00:00,29452.829285714288,stop_loss,-253.16071428571377,-0.008522210984576301,1.254787148185936,1.3273889155817429,-0.05469517376826089,Tuesday,20
2023-08-08 12:00:00+00:00,29535.39,2023-08-08 16:00:00+00:00,29894.60857142857,take_profit,359.2185714285697,0.012162310077116628,1.2700482585629544,1.3273889155817429,-0.04319808335423553,Tuesday,12
2023-08-14 12:00:00+00:00,29599.99,2023-08-14 16:00:00+00:00,29510.079285714288,stop_loss,-89.91071428571377,-0.003037525157465045,1.2661904550263747,1.3273889155817429,-0.046104393246757865,Monday,12
2023-08-23 12:00:00+00:00,26144.0,2023-08-23 16:00:00+00:00,26627.72714285714,take_profit,483.7271428571403,0.018502415194964057,1.2896180365411731,1.3273889155817429,-0.028455020677957254,Wednesday,12
2023-08-29 12:00:00+00:00,27423.44,2023-08-29 16:00:00+00:00,27712.345714285715,take_profit,288.9057142857164,0.010534991754707521,1.3032041519228565,1.3273889155817429,-0.018219802331472003,Tuesday,12
2023-09-07 20:00:00+00:00,26255.0,2023-09-08 08:00:00+00:00,26072.267857142855,stop_loss,-182.73214285714494,-0.006959898794787467,1.2941339829165266,1.3273889155817429,-0.025052893145971422,Thursday,20
2023-09-12 08:00:00+00:00,26098.99,2023-09-12 20:00:00+00:00,25800.07785714286,stop_loss,-298.9121428571416,-0.011453015724253758,1.2793122460608926,1.3273889155817429,-0.03621897769108626,Tuesday,8
2023-09-14 12:00:00+00:00,26693.97,2023-09-15 12:00:00+00:00,26337.142142857145,stop_loss,-356.8278571428564,-0.0133673581390425,1.2622112210961336,1.3273889155817429,-0.049102183783902124,Thursday,12
2023-09-18 00:00:00+00:00,26658.66,2023-09-18 08:00:00+00:00,26956.260000000002,take_profit,297.6000000000022,0.011163351796376944,1.2763017289985643,1.3273889155817429,-0.03848697693907519,Monday,0
2023-09-18 12:00:00+00:00,27269.42,2023-09-18 16:00:00+00:00,27098.352857142854,stop_loss,-171.06714285714406,-0.006273222637560464,1.268295204099853,1.3273889155817429,-0.04451876220165017,Monday,12
2023-09-19 12:00:00+00:00,27422.24,2023-09-19 16:00:00+00:00,27158.38857142857,stop_loss,-263.85142857143,-0.009621804366507987,1.2560919157670238,1.3273889155817429,-0.05371221574761482,Tuesday,12
2023-09-27 08:00:00+00:00,26766.7,2023-09-27 12:00:00+00:00,26583.963571428572,stop_loss,-182.7364285714284,-0.00682700626418006,1.2475165683896965,1.3273889155817429,-0.06017252837842287,Wednesday,8
2023-09-28 12:00:00+00:00,27020.0,2023-09-29 12:00:00+00:00,26786.48642857143,stop_loss,-233.5135714285716,-0.008642249127630333,1.2367352194148262,1.3273889155817429,-0.0682947515251675,Thursday,12
2023-10-01 20:00:00+00:00,27992.57,2023-10-02 00:00:00+00:00,27843.499285714286,stop_loss,-149.07071428571362,-0.005325367205859041,1.2301491502350235,1.3273889155817429,-0.07325642410092223,Sunday,20
2023-10-02 04:00:00+00:00,28311.91,2023-10-02 12:00:00+00:00,28110.855,stop_loss,-201.0550000000003,-0.0071014283388157245,1.2214133341985742,1.3273889155817429,-0.07983762719362748,Monday,4
2023-10-06 12:00:00+00:00,27941.12,2023-10-09 08:00:00+00:00,27683.691428571427,stop_loss,-257.42857142857247,-0.009213251703173405,1.2101601457169904,1.3273889155817429,-0.08831531474208197,Friday,12
2023-10-15 20:00:00+00:00,27154.15,2023-10-16 04:00:00+00:00,27426.857142857145,take_profit,272.7071428571435,0.010042926877001986,1.2223136955698881,1.3273889155817429,-0.07915933211315418,Sunday,20
2023-10-16 12:00:00+00:00,28064.16,2023-10-16 16:00:00+00:00,28418.087142857144,take_profit,353.92714285714464,0.012611357078107616,1.2377287300461814,1.3273889155817429,-0.06754628163838995,Monday,12
2023-10-19 12:00:00+00:00,28680.09,2023-10-20 00:00:00+00:00,29254.647142857142,take_profit,574.557142857142,0.02003331031587216,1.2625245337820667,1.3273889155817429,-0.04886614694326312,Thursday,12
2023-10-20 04:00:00+00:00,29240.51,2023-10-20 08:00:00+00:00,29892.304285714283,take_profit,651.7942857142843,0.02229079744895983,1.2906672124389453,1.3273889155817429,-0.027664614877926604,Friday,4
2023-10-23 00:00:00+00:00,30736.69,2023-10-23 04:00:00+00:00,30444.98642857143,stop_loss,-291.7035714285703,-0.009490402884258856,1.2784182606033965,1.3273889155817429,-0.036892469421356044,Monday,0
2023-10-23 12:00:00+00:00,30883.33,2023-10-23 20:00:00+00:00,31626.66142857143,take_profit,743.3314285714296,0.024069018093950022,1.3091885328494957,1.3273889155817429,-0.013711416841439197,Monday,12
2023-10-24 00:00:00+00:00,34061.6,2023-10-24 12:00:00+00:00,33409.47142857143,stop_loss,-652.1285714285696,-0.01914556484218503,1.2841233789031805,1.3273889155817429,-0.032594468863408256,Tuesday,0
2023-10-29 16:00:00+00:00,34561.97,2023-10-30 00:00:00+00:00,34280.21571428572,stop_loss,-281.75428571428347,-0.00815214774257033,1.2736550153986732,1.3273889155817429,-0.04048090168021344,Sunday,16
2023-10-30 08:00:00+00:00,34608.51,2023-10-30 16:00:00+00:00,34341.040714285715,stop_loss,-267.46928571428725,-0.007728425341463335,1.2638116677013842,1.3273889155817429,-0.047896473395286146,Monday,8
2023-11-01 20:00:00+00:00,35421.43,2023-11-02 12:00:00+00:00,35021.00571428571,stop_loss,-400.424285714289,-0.01130457707987196,1.2495248112894124,1.3273889155817429,-0.05865960109980704,Wednesday,20
2023-11-07 16:00:00+00:00,35453.98,2023-11-09 00:00:00+00:00,36174.694285714286,take_profit,720.7142857142826,0.020328163035977415,1.2749253553708026,1.3273889155817429,-0.03952387999861178,Tuesday,16
2023-11-09 04:00:00+00:00,36533.04,2023-11-09 12:00:00+00:00,37452.86,take_profit,919.8199999999997,0.025177756901697743,1.3070251160361392,1.3273889155817429,-0.015341245739331018,Thursday,4
2023-11-15 16:00:00+00:00,37499.99,2023-11-16 12:00:00+00:00,36966.46,stop_loss,-533.5299999999988,-0.014227470460658758,1.288429454806396,1.3273889155817429,-0.029350449079403786,Wednesday,16
2023-11-19 20:00:00+00:00,37359.86,2023-11-20 12:00:00+00:00,37007.53928571429,stop_loss,-352.3207142857136,-0.00943046131023279,1.2762789706818798,1.3273889155817429,-0.03850412211515537,Sunday,20
2023-11-20 16:00:00+00:00,37569.23,2023-11-21 08:00:00+00:00,37226.34142857143,stop_loss,-342.8885714285716,-0.009126845863718036,1.2646305692373616,1.3273889155817429,-0.04727954679121057,Monday,16
2023-11-24 08:00:00+00:00,37741.99,2023-11-26 12:00:00+00:00,37299.29285714286,stop_loss,-442.69714285714144,-0.011729565474876694,1.2497970021739615,1.3273889155817429,-0.05845454372637718,Friday,8
2023-11-28 16:00:00+00:00,38114.26,2023-11-28 20:00:00+00:00,37741.67857142857,stop_loss,-372.58142857142957,-0.009775381407678637,1.2375797597955376,1.3273889155817429,-0.06765850967411871,Tuesday,16
2023-12-01 08:00:00+00:00,38580.17,2023-12-02 16:00:00+00:00,39363.18142857143,take_profit,783.0114285714299,0.020295696690072383,1.2626973032301205,1.3273889155817429,-0.048735989574894514,Friday,8
2023-12-03 20:00:00+00:00,39972.26,2023-12-04 00:00:00+00:00,40645.66285714286,take_profit,673.4028571428571,0.016846754652923228,1.2839696548985462,1.3273889155817429,-0.03271027818110694,Sunday,20
2023-12-04 04:00:00+00:00,41441.1,2023-12-04 20:00:00+00:00,42199.51571428571,take_profit,758.4157142857148,0.018301051716429217,1.3074676499551703,1.3273889155817429,-0.015007858957328929,Monday,4
2023-12-05 16:00:00+00:00,43814.36,2023-12-07 08:00:00+00:00,43185.60071428571,stop_loss,-628.7592857142881,-0.014350529956714833,1.288704796277053,1.3273889155817429,-0.029143018184490492,Tuesday,16
2023-12-18 20:00:00+00:00,42657.8,2023-12-19 16:00:00+00:00,42122.906428571434,stop_loss,-534.893571428569,-0.012539173877428488,1.272545502759859,1.3273889155817429,-0.041316762689590676,Monday,20
2023-12-20 12:00:00+00:00,44027.2,2023-12-20 20:00:00+00:00,43414.913571428566,stop_loss,-612.2864285714313,-0.013907003592584387,1.2548482078812504,1.3273889155817429,-0.054649173915016995,Wednesday,12
2024-01-01 20:00:00+00:00,44179.55,2024-01-02 00:00:00+00:00,45078.64571428572,take_profit,899.0957142857151,0.020350947763970322,1.2803855582115535,1.3273889155817429,-0.035410388634735286,Monday,20
2024-01-02 04:00:00+00:00,45455.53,2024-01-02 12:00:00+00:00,44915.84,stop_loss,-539.6900000000023,-0.0118729228324915,1.265183639283071,1.3273889155817429,-0.04686288665549813,Tuesday,4
2024-01-08 08:00:00+00:00,44635.99,2024-01-08 16:00:00+00:00,45602.39428571428,take_profit,966.4042857142849,0.021650786410568803,1.292575860027335,1.3273889155817429,-0.02622671859449025,Monday,8
2024-01-16 12:00:00+00:00,43252.67,2024-01-17 04:00:00+00:00,42683.887142857144,stop_loss,-568.7828571428545,-0.01315023690197286,1.2755781812542042,1.3273889155817429,-0.03903206793378417,Tuesday,12
2024-01-26 08:00:00+00:00,41289.52,2024-01-28 04:00:00+00:00,42294.521428571425,take_profit,1005.0014285714278,0.02434035146379585,1.3066262025054811,1.3273889155817429,-0.0156417707218553,Friday,8
2024-01-29 12:00:00+00:00,42641.75,2024-01-30 00:00:00+00:00,43440.80142857143,take_profit,799.0514285714307,0.01873871097155794,1.3311106932620957,1.3311106932620957,0.0,Monday,12
